,Doc Text,Sentiment
131,nelson screenplay need serious work show dilemma rather character stage shout match,0
132,memorable peculiar malaise render tension flaccid extension surprise limp resolution ritual,0
133,film apparently take place fantasy world people hotel hallway recite poetry voice instead speak,0
134,philosophical musing dialogue jar tawdry soap opera antic film action way surprisingly enjoyable,1
135,film take inside rhythm subject experience watch,1
136,like peace like promise,1
137,drumline mere suggestion albeit visually compel one fully realize story,0
138,make great cinema interest see one imagination lead give opportunity,1
139,era big star high production value standard procedure narc strike defiantly retro chord outpaces contemporary dare verve,1
140,well act well intentioned nothing however film come perilously close bleak pessimistic unflinching good,1
141,franchise spawn single good film crap continue,0
142,elegant eloquent meditation death elusive passion love,1
143,cast call movie go must read seek anyone act ambition sense pride shame,0
144,low budget full frontal one year murkiest intentionally obscure self indulgent picture solaris big budget brother,0
145,tough tell abundant supply woefully hackneyed movie direct scott kalvert street gang turf war 1958 brooklyn stale cliche gratuitous violence empty machismo,0
146,instead use george lucy obvious difference ignite spark lawrence desperately look elsewhere seize george haplessness lucy personality tic,0
147,return director rob minkoff screenwriter bruce joel rubin do fine job update white dry wit new age,1
148,film determine treat character weak strong fallible human being caricature carefully delineate cost inevitable conflict human urges institution concern self preservation,1
149,way home ode unconditional love compassion garner year see condition old privy often misconstrue weakness,1
150,scene drag underscore obvious sentiment slather top,0
151,overall wacky inspire little film work effortlessly deliver genuine acerbic laugh,1
152,doubt star everyone else involve heart right place head anyone guess,0
153,sort movie give tastelessness bad rap,0
154,bartleby one joke movie bad joke,0
155,despite hawaiian set science fiction trimming moment rowdy slapstick basic plot lilo could pull tear stain vintage shirley temple script,1
156,payne construct hilarious ode middle america middle age unlikely odyssey feature pathetic endear hero human,1
157,scooby doo know want retro refit exercise campy recall old fan silly nickelodeon esque kiddie flick,0
158,one rare kind film family orient non disney film actually funny without hit belt,1
159,emotional seesaw hard figure depth two literary figure even time live fascinate recklessness,1
160,wanders map thematically stylistically borrow heavily lynch jeunet von trier fail find spark,0
161,new time machine hardly perfect yet prove surprisingly serviceable even bad half bad,1
162,idea lose originality neither star appear excited rehash basically one joke picture,0
163,serious sense purpose find way lay bare tragedy set good deal warmth humor,1
164,decasia happen already many silent movie newsreel like unexpected thing die shower black white psychedelia quite beautiful,1
165,say enough movie adult male dress pink jammies,0
166,whatever movie sentimental hypocritical lesson sexism true color come various wet shirt shower scene,0
167,film thoroughly recycle plot tiresome joke drag movie,0
168,complete waste time,0
169,gangster 1 solid satisfy fare adult,1
170,know make imagination wonder,1
171,time easy haunt forget admire conception able resolve confusion watch,1
172,like great documentary go one truth ford administration complicity tear orphan mother stumble upon others even compel,1
173,count movie work back neck long leave theater,1
174,plot plummet comedy graveyard janice come race rescue final reel,0
175,doubt highly ambitious personal project egoyan also one next best work feel clumsy convolute,0
176,movie album want miss,1
177,javier bardem one reason watch film director gerardo vera drench swoony music fever pitch melodrama,0
178,writhe dialogue like two different world tonight maid lie schlock fill fairy tale hit new depth unoriginality predictability,0
179,nothing exactly wrong nearly enough right,0
180,broad cartoonish screenplay accuracy observation work director frank novak keep film ground undeniable social realism,1
181,surprise well hold era computer generate image norm,1
182,mildly curious fear put sleep bewilder artsy often pointless visuals,0
183,though inspires field creative thought film detriment much cinematic collage polemical tract,0
184,information already appear one forum another matter broomfield dress tend speculation conspiracy theory best circumstantial evidence,0
185,without resort camp parody haynes like sirk differently transform rhetoric hollywood melodrama something provocative rich strange,1
186,quick want see comedy shoddy airport security,0
187,perverse little truffle dainty psychological terror outside creamy fill familial jealousy unrepentant domestic psychopathy,1
188,adventure pluto nash whole lot nada,0
189,blade ii still top heavy blazing gun cheatfully film martial art disintegrate bloodsucker computer effect jag camera move serve purpose call attention,0
190,clayburgh tambor charm performer neither deserves eric schaeffer,0
191,suspect kind production would funnier director release outtake theatrically use film bonus feature dvd,0
192,represent something close nadir thriller horror genre,0
193,sem se preocupar em criar momentos melodramáticos para arrancar lágrimas espectador pianista é um filme triste sem que para isso precise ser emocionante,1
194,stuart poor persona need whole bunch snowball cynicism cut sugar coat falcon arrive sky manhattan adventure red alert,1
195,ill conceive modern day end fall flat deliver moral punch,0
196,naturally funny film home movie make crave chris smith next movie,1
197,little elaborate conceit set blood soak tragedy murderous ambition era richard nixon,0
198,vivid portrait woman consume lust love crush betrayal conjures intoxicate fume emotional ghost freshly paint rembrandt,1
199,special effect many scene weightlessness look good well original oscar win sound james horner rouse score make good use hefty audio system,1
200,discursive oddly riveting documentary,1
201,look intelligent movie release pent anger enough ticket need,1
202,story like life refuse simple result compel slice awkward emotion,1
203,show mugging,0
204,none crackle fatal attraction 9 ½ week even indecent proposal feel like lyne stolid remake lolita,0
205,mordantly funny intimately know,1
206,stand document felt like new yorker really human week 9 11,1
207,entertain somewhat standardized action movie,1
208,actress may work back story woman portray convincingly viewer get enough background character involve individual rather type,0
209,show moment promise ultimately succumbs cliche pat storytelling,0
210,adaptation simply brilliant,1
211,refresh change self interest paranoia shape american representation castro,1
212,notorious h cho prove stuff stand tall pryor carlin murphy,1
213,clear deuce wild shot two year ago gather dust mgm shelf,0
214,touch moment etoiles part dull dour documentary ought joyful least fascinating subject,0
215,seemingly vehicle showcase canadian inane ramblings steal harvard smorgasbord soliloquies nothing deliver former mr draw barrymore,0
216,kudos enchant film year,1
217,could love safe conduct laissez passer subtitle french movie 170 minute long could hate reason,1
218,sluggish tonally uneven,0
219,directive protect code cost also begin blur importance man code merge,1
220,never capitalize concept opts breezy amateurish feel school special subject tolerance,0
221,smarter commercial make seem,1
222,enigma kind engage historical drama hollywood appear give favor sentimental war movie vein soldier,1
223,photographer show tell stance admirable make problematic documentary subject,0
224,skirmish power wag among victim predator settle undistinguished rhythm artificial suspense,0
225,action scene suspense 20 car pileup plot hole big enough train car drive kaos blown,0
226,basic cartoon adventure wind hair exhilarate,1
227,reynolds take classic story cast attractive talented actor use magnificent landscape create feature film wickedly fun watch,1
228,feel haphazard writer mistakenly think could achieve air frantic spontaneity simply toss lot character silly stuff stir pot,0
229,comedy drama nearly epic proportion root sincere performance title character undergo midlife crisis,1
230,kevin costner rest pretty boy laurel public regrettably go tepid film like dragonfly toss,0
231,fantasma boldly confidently orchestrate aesthetically sexually impact deeply rightly disturb,1
232,horrendously amateurish filmmaking plainly dull visually ugly incomprehensible,0
233,often shock ultimately worthwhile exploration motherhood desperate mother,1
234,sharp movie otherwise dull subject,1
235,wife plot nothing special delivery matter,1
236,family togetherness take back seat inter family rivalry workplace ambition 133 whole subplots explanation even plot relevance,0
237,old fashion emotionally stirring adventure tale kind rarely make anymore,1
238,film fall back old formula teen sex outrageous prank scene design push envelope bad taste laugh,0
239,blandly go go 8 movie ago,0
240,play ryan gosling danny frighteningly fascinating contradiction,1
241,one best inside show biz yarn ever,1
242,green ruin every single scene film completely wreak seriously compromise,0
243,film almost unbearable portrait sadness grief transcends specific story speak way need history presumption tangle sometimes destroy blood tie,1
244,warm hash,0
245,last kiss probably never achieve popularity big fat greek wedding provocative central wedding sequence far impact,1
246,one sense world traveler earlier film freundlich bear grievous obscure complaint father circle obsessively without make contact,0
247,shainberg weave carefully balance scenario control neither character weirdly sympathetic manages tender darkly comic,1
248,documentary much conventional lot bore talk head etc subject matter justice,0
249,pint size goodfellas design appeal young set good movie objective sense mostly hold one interest,0
250,essentially fatal attraction remade viewer diaper original release 1987 story get silly scarier go along,0
251,work whodunit level large theme get lose murk making,0
252,mean much played skew ever get hold entertain,0
253,entertains provide good lively company,1
254,movie jolt seat couple time give laugh leave feel like worth seven buck even though turn bit cheat end,1
255,unfortunately kapur modernizes e mason story suit sensibilities young american decision pluck four feather bare,0
256,willing fun feel cheat high infidelity unfaithful,1
257,people make fun liking showgirl,0
258,extremely well acted four primary actor seriously intend movie easily forget,1
259,often hilarious,1
260,show studio firmly believe people lose ability think forgive shoddy product long little girl girl action,0
261,one year weirdly engage unpredictable character piece,1
262,manage avoid deconstructionist theorize french philosopher jacques derrida college take 85 minute brush course documentary derrida something fun tonight,0
263,give taste burn man ethos appeal blend counter cultural idealism hedonistic creativity,1
264,brilliant honest performance nicholson film agonize bore except fantastic kathy bates turn bravado kathy,0
265,look terrific flick replete dazzle camera work dance music,1
266,exquisite craftsmanship olivier assayas fashion absorb look provincial bourgeois french society,1
267,spielberg manage marry science fiction film noir action flick philosophical inquiry,1
268,exhilarate blatantly bias,1
269,get image big papa span history rather suspend,1
270,like old myth wonder tale spin afresh,1
271,compel pre wwii drama vivid character warm move message,1
272,action adventure space base homage robert louis stevenson treasure island fire plasma conduit,1
273,real snooze,0
274,flounder due general sense two people work production exactly thing mind,0
275,movie fail make us part reality fail basic relevancy test well,0
276,put somewhere sling blade south heaven west hell pantheon billy bob body work,0
277,felt sad lise much happens capture movie obviously belong something lighter sunny rohmer example,0
278,sometimes interesting remake compare brilliant original,0
279,ill consider unholy hokum,0
280,scooby dooby doo shaggy look sound great daphne buff fred think tough velma wow lose weight,0
281,swimfan catch may teens look something make laugh,0
282,confound solemnly advance daringly preposterous thesis act can not act,1
283,modestly comic modestly action orient world war ii adventure term authenticity one film require enemy never shoot straight,0
284,swiftly deteriorate terribly obvious melodrama rough hewn vanity project lead actress andie macdowell,0
285,reality snub hodgepodge,0
286,graphic carnage creation war torn croatia uncomfortably timely relevant sickeningly real,1
287,spooky yarn demonic doings high sea work well less brain engage,0
288,gay straight kiss jessica stein one great date movie year,1
289,new insomnia surprisingly faithful remake chilly predecessor elect head direction employ change fit well rather one impose sake commercial sensibility,1
290,light cute forgettable,1
291,big fat greek wedding best date movie year also dare say twice delightfully charm totally american might add slice comedic bliss,1
292,mystery movie could release condition,0
293,pleasant enough movie hold together skilled ensemble actor,1
294,level maturity display 33 year old first time feature director astonish consider inexperience subject matter,1
295,view term treasure planet well average family entertainment true fan stevenson novel likely prefer disney faithful 1950 live action swashbuckling classic,1
296,filmmaker ivan prince fellow come across shallow glib though mean spirited indication responsible put together movie particular value merit,0
297,emperor club one film possess good intention world,0
298,certainly beautiful look informative titular character challenge average television biopic,0
299,really surprise wisegirls low key quality genuine tenderness,1
300,love masochism binoche make interest try find,1
301,fan phrase life affirm usually mean schmaltzy real woman curve truly life affirm,1
302,strong first quarter slightly less second quarter average second half,0
303,movie seem motivate desire match mortarboard dead poet society good hunting story,0
304,jackson bledel seem pick acting chop look appeal pre teen crowd,0
305,time machine movie interest believe sense humor plain bore,0
306,aimlessly unsuccessfully attempts fuse least three dull plot one good one,0
307,even pronounce gyro correctly appreciate much vardalos humor transcend ethnic boundary,1
308,afraid get frankly fantastical number flick suspension disbelief rather wrestle disbelief ground apply chloroform soaked handkerchief,0
309,smart fun far witty wise,1
310,irresistible combination rouse good story set truly grand scale,1
311,director seem take unseemly pleasure character misery time congratulate gut confront,0
312,bielinsky filmmaker impressive talent,1
313,film improbable feat go straight video,0
314,beneath uncanny inevitable seemingly shrewd facade movie biz farce lie plot cobble together largely flat uncreative moment,0
315,first attempt film noir spielberg present fascinate flaw look near future,1
316,solid emotional impact,1
317,25 iq 90 driver license able find well entertainment,0
318,difficult conceive anyone reach puberty actually find character slacker antic amuse let alone funny,0
319,real woman curve wear empowerment sleeve even bad harangue easy swallow thanks remarkable performance ferrera ontiveros,1
320,especially tough grader give charitable minus emperor club,1
321,ultimately make windtalker disappointment superficial way deal story,0
322,work intricate elegance literary lyricism profound common sense,1
323,impostor step director gary fleder,0
324,feel unedited personal journal,0
325,smart sweet playful romantic comedy,1
326,perhaps even slc high command find writer director mitch davis wall kitsch hard go,0
327,time funny time candidly reveal intrigue look two performer put love,1
328,daringly perceptive taut pierce feisty biggie tupac undeniably subversive involve bold presentation,1
329,ultimately history academy people may wonder jazz chicago 2002 zellweger whiny pouty lipped poof face spindly attempt play ingenue make nomination best actress even,0
330,obviously aim kid country bear keep parent amuse low groan guffaw ratio,1
331,solid movie people whose life anything,1
332,sparkle deft portrait tinseltown season veteran gossip wealth paranoia celebrityhood,1
333,uneven self conscious often hilarious spoof,1
334,story inspire tumultuous surroundings los angeles feeling marginalization loom every dreamer burst bubble dogwalker character ideas never manage put path,0
335,tobey maguire poster boy geek generation,1
336,portrait hell shatter impossible shake,1
337,unfortunately writer mr montias nearly good crew director actor,0
338,unique residence home movie people live carve comfortable niche world kind enough share,1
339,tasty masala,1
340,check brain secret agent decoder ring door want think much go movie entertainment value much depend well like chris rock,0
341,24 unders look caddyshack adopt generational signpost may keep look,0
342,actor terrific convey young angst indeed feel,1
343,arty gay film,0
344,unforgettable look morality family social expectation prism omnibus tradition call marriage,1
345,uppity musical beat dance energy compare wit humor snappy dialogue original want music buy soundtrack want real movie buy criterion dvd,0
346,strip almost entirely tools nudity profanity violence labute manage make point modern man problematic quest human connection,1
347,hour half inoffensive unmemorable filler,0
348,way tolerate insipid brutally clueless film might large dose painkiller,0
349,13 conversation hold goodwill close relatively slow come point,1
350,although lack detail book film pack serious suspense,1
351,grant hoult carry movie believable people flaw assure wrong thing scar admit much may really need company others,1
352,love look movie care much story,0
353,engage simplicity driven appeal lead,1
354,chilly brood quietly resonant psychological study domestic tension unhappiness,1
355,feel good picture best sense term,1
356,deepa mehta provide accessible introduction well intelligent observation success bollywood western world,1
357,like predecessor classic provide reasonably attractive holiday contraption one family look clean kid friendly out investigate,1
358,sometimes feel might make 70s 80s star chevy chase goldie hawn,0
359,pedestrian come,0
360,lee treat audience way jim brown treat woman dumb credulous unassuming subordinate subject lee seem expectant adore wide smile reception,0
361,one resurrection many,0
362,sustain fest self congratulation actor director leave scant place viewer,0
363,fleet foot pleasingly upbeat family diversion,1
364,good documentary make interesting subject thought would leave cold case point doug pray scratch,1
365,bogdanovich tantalize offer peep show live era creme de la celluloid,1
366,film offer intrigue premise,1
367,film trailer also look like crap crap expect,0
368,motion picture portray ultimate passion others create ultimate thrill men black ii achieves ultimate insignificance sci fi comedy spectacle whiffle ball epic,0
369,could use two hour well watch john malkovich,0
370,avert eye solondz force us consider unthinkable unacceptable unmentionable,1
371,like chill breath oral storytelling frozen onto film,1
372,fabric complex idea feeling profoundly deepen,1
373,add much,0
374,despite terrific special effect funnier gag harry potter chamber secret find way make k rowling marvelous series deadly bore,0
375,exercise chill style twohy film sub inside eye preserve sense mystery,1
376,expect sayles smart wordplay clever plot contrivance sharp ever though may overshadow strong performance,1
377,much anticipate ultimately lackluster movie,0
378,spaniel eye jean reno infuses hubert mixture deadpan cool wry humor measure tenderness require give comic slugfest heart,1
379,sort good natured fun find film like tremor eight legged freak prime escapist fare,1
380,yes one enjoy see joan grow awkward young woman strong determine monarch love philander philip diminishes stature,0
381,every nanosecond new guy reminds could something else far pleasurable something like scrub toilet empty rat trap last year tax ex wife,0
382,bartlett hero remain reactive cipher open man head heart imaginable reason film make,0
383,poignant move walk remember inspirational love story capture innocence idealism first encounter,1
384,hawke draw best large cast beautifully articulated portrayal subtle expressive sustain poetic flight burdette dialogue,1
385,often watchable though goofy lurid blast costume drama set late 15th century,1
386,every bit bogus disney live action family movie real plot real conflict real point,0
387,film neither bitter sweet neither romantic comedic neither warm fuzzy,0
388,villainous vampire cup blood blade 2 definitely cut rest,1
389,awkwardly garish showcase diverge anything remotely probe penetrate,0
390,make one thing abundantly clear american musical comedy know exist without precedent yiddish theater whose jolly fun fun sake communal spirit go essence broadway,1
391,impact armenian genocide dilute much stage business modern day,0
392,crikey indeed,0
393,liked movie know would like go one step leave slightly disappointed,0
394,next porky revenge ultimate edition,0
395,dreary highly annoy body appeal one,0
396,self serious equilibrium make point well movie like life much fun without high low,0
397,sorority boys funny movie pretty bad,0
398,horrible,0
399,fact best part movie come 60 second homage one demme good film bode well rest,0
400,guy seem great knock back beer simply funny performer,0
401,need impressionistic cinematography exhilarate point view shot few slow motion grandeur shot quick cut edits often detract athleticism,0
402,though film never veers comic course unintentional parallel might inadvertently evoke memory emotion anything humorous,1
403,deeply weird charmingly dear,1
404,script smart cloy,1
405,take fresh absorb look figure whose legacy begin bronze,1
406,selection scene search movie,0
407,leak treacle every pore,0
408,respectful film byatt fan could hope though lover book may wonder necessary,1
409,delicately observed story deeply felt masterfully stylize triumph maverick director,1
410,frailty gory explicit child center claustrophobic context frighten disturb even punish,1
411,move bond girl deserve sequel,1
412,would make excellent companion piece similarly theme french lieutenant woman,1
413,exceptionally act quietly affect cop drama,1
414,cho continue exploration outer limit raunch considerable brio,1
415,unless zone ordinance protect community dull science fiction impostor open today theater near,0
416,bowl columbine remain disquiet think provoking film,1
417,film act spiritual faith eloquent deeply felt meditation nature compassion,1
418,picture maik firebrand turn savvy ad man would envious hijack heat revolution turn sale tool,0
419,like rugrats movie wild thornberrys movie offer much series emphasis care animal respect culture particularly welcome,1
420,need badly virtually absent either save dark humor feel poetic tragedy,0
421,atom egoyan conjure multilayered work tackle number fascinate issue,1
422,grittily beautiful film look sound feel like extend open end poem traditionally structured story,1
423,sheer dynamism infectious,1
424,cellophane pop remake punk classic lady gentlemen fabulous stain crossroads never much bad bland well inconsequential,0
425,one film character inhabit special annex hell adult behave like kid child behave like adult everyone scream top lung matter situation,0
426,although frailty fit classic genre script execution remarkably original work,1
427,unwise amalgam broadcast news vibe,0
428,family portrait need neurosis nervy negativity rare treat show promise digital filmmaking,1
429,capture raw comic energy one flamboyant female comic,1
430,filmmaker stacy peralta flashy edit style always jell sean penn monotone narration respect material without sentimentalize,1
431,cautionary tale folly superficiality endlessly superficial,0
432,exactly profound cinema good natured sometimes quite funny,1
433,formula 51 dulled sens faster deeper recreational drug market,0
434,son bride may good half hour long come replete flatter sense mystery quietness,1
435,compleja intelectualmente retadora el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad,1
436,fill shooting beating cuss could shake stick,1
437,rare urban comedy even attempt insight honesty disarming indie,1
438,joke flaky resonant lightweight bizarrely original,1
439,piece handiwork show indie tatter self conscious seam place quietly move moment intelligent subtlety,1
440,teen movie really hit skid,0
441,miller tell compel tale little fuss noise expertly pluck tension quiet,1
442,like tuck family movie go,0
443,last three narcissist leave earth compete others affection,0
444,tonal shift jolt though wen message profound thoughtfully deliver thorough transition would make film cohesive,1
445,solid well form satire,1
446,one go unindicted probably best nearly move tears couple scene get ice water vein,1
447,moore complex important film also believe immensely entertain david goliath story still much playing,1
448,camouflage carvey consider paper bag wear head go public avoid recognize man bilk unsuspecting moviegoer,0
449,best thing could say narc rock solid little genre picture whether like basically matter taste,1
450,soderbergh like kubrick may touch planet skin understand working spirit,1
451,may far best series assure wonderfully respectful past thrill enough make abundantly clear movie phenomenon reinvent new generation,1
452,slick well oiled machine exquisitely polish upholstered,1
453,oozes condescension every pore,0
454,purely propaganda work unabashed hero worship nonetheless likely inadvertently timely invaluable implicit reminder role foreign policy play rise castro,1
455,hope movie widely see debate appropriate ferocity thoughtfulness,1
456,fill alexandre desplat haunting sublime music movie completely transfixes audience,1
457,less fresh,0
458,dragonfly atmosphere tension nothing costner flail away buggy drag,0
459,somewhat less might film good one get hand director george clooney bite big job first time,1
460,one best film year exploration obstacles happiness face five contemporary individual psychological masterpiece,1
461,narc remind us brilliant crime drama without become one,0
462,like smoke signal film also imbue strong theme familial tie spirituality powerful move without stoop base melodrama,1
463,directorial tour de force bernard rise ivans xtc one year best picture,1
464,post 9 11 philosophical message personal freedom first might palatable intend,1
465,predictable outcome globetrotter general game juwanna mann even ludicrous expect guy dress genre personal low everyone involve,0
466,great ensemble cast lift heartfelt enterprise familiar,0
467,without sex wonderful tale love destiny tell well master storyteller,1
468,take certain kind horror movie qualify bad expect ghost ship somehow manage exactly,0
469,prison comedy never really bust comfy little cell,0
470,analyze prove really one movie worth decent gag glean premise,0
471,jeffrey tambor performance intelligent jazz play exterminator oscar worthy,1
472,none meaningful memorable frosting either turn big bowl would,1
473,occasionally interest essentially unpersuasive footnote still evolve story,0
474,work surprisingly sensitive script co write gianni romoli ozpetek avoids pitfall expect potentially sudsy set,1
475,one unassuming film sneak stay long leave theatre,1
476,flat misguide comedy,0
477,one collection penis breast flatulence gag search story profit damn thing,0
478,violent profane exploitative offensive action flick ever see,0
479,profoundly stupid affair populate hackneyed meanspirited storyline cardboard character performer value cash credibility,0
480,masterful flawless film wang emerge front rank china numerous world renowned filmmaker,1
481,caine prove lose touch bringing superb performance admittedly middling film,1
