,Doc Text,Sentiment
401,collateral damage trash earn extra point act,1
402,despite performance sustain intelligence stanford another subtle humour bebe neuwirth old woman seduces oscar film founder lack empathy social milieu rich new york intelligentsia,0
403,pokemon franchise fourth animate movie four year convert even keep eye open fan fun meet brand new pokemon call celebi,1
404,introduction man theory influence derrida useless portrait artist endlessly inquisitive old man however invaluable,1
405,twenty year first release remain wondrous hollywood fantasy apex steven spielberg misunderstood career,1
406,milieu wholly unconvincing histrionics reach truly annoying pitch,0
407,reggio glass rhapsodize cynicism repetition languorous slo mo sequence glass dirgelike score becomes fang bar lullaby,0
408,must end world best film far year franchise sequel star wesley snipe,1
409,one best film year exquisite act inventive screenplay mesmerize music many inimitable scene tenderness loss discontent yearn,1
410,challenge film always narratively cohesive one,1
411,despite annoyance capable clayburgh tambor really great job anchor character emotional reality middle age,1
412,old fashion screenwriting parlance m shreve novel prove difficult text lick despite effort first rate cast,0
413,writer director joe carnahan grimy crime drama manual precinct cliche move fast enough cover clunky dialogue lapse logic,1
414,vampire thriller blade ii start wild hoot suck blood fun toward end feel vein cringe workout,0
415,meet even exceed expectation best sequel since empire strike back majestic achievement epic astonish grandeur surprising emotional depth,1
416,take beauty baseball meld story could touch anyone regardless familiarity sport,1
417,desperately unfunny try make us laugh desperately unsuspenseful try make us jump seat,0
418,bear resemblance share weaknesses many recent action fantasy extravaganzas special effect overpower cogent story tell visual clarity big action sequence,0
419,schaefer determination inject farcical raunch drowns promise romantic angle,0
420,fascinate curiosity piece fascinate ten minute becomes long tedious like classroom play college history course,0
421,movie 11 year old boy sport dream preteen girl worship lil bow wow,1
422,likable story tell competence,1
423,fluffy disposible,0
424,stagey talky long good,0
425,best straight old school horror film last 15 year,1
426,best thing say film wait see director next,1
427,secretary manages neat trick bundling flower perversity comedy romance strangely tempt bouquet movie,1
428,digital video documentary stand comedian great glimpse different world,1
429,feel formulaic familiar produce transgressive thrill early underground work,0
430,three protagonist miller eloquently capture moment woman life deep seat emotional need turn onto different path,1
431,13 conversation one thing intelligent flick examine many different idea happiness guilt intriguing bit storytelling,1
432,camouflage carvey consider paper bag wear head go public avoid recognize man bilk unsuspecting moviegoer,0
433,devotee french cinema safe conduct rich period minutia like die go celluloid heaven,1
434,zombie movie every sense word mindless lifeless meander loud painful obnoxious,0
435,thoughtful heart well mind,1
436,estupendamente actuada sumamente emotiva profundamente humana e una experiencia fílmica imposible de olvidar,1
437,writer dude think name uh michael zaidan suppose like write screenplay something dude thing ever saw write zero paycheck,0
438,old fashion scary movie one rely linger terror punctuate sudden shock constant bloodshed punctuated fly gut,1
439,like soft drink sit open long much syrup enough fizz,0
440,though flirt bathos pathos oprahfication world know still cuts way broken bone,1
441,gleefully thumpingly hyperbolic term cover every cliche compendium crass jade movie type phony baloney movie biz,0
442,woody allen write deliver one liner well anybody lot problem movie,0
443,film tone pace almost get go,0
444,worth see weaver lapaglia,1
445,humorous artsy even cute kilter dark vaguely disturbing way,1
446,formula 51 trite even yu high energy action stylings break stupor,0
447,nothing like love give movie b 12 shot cq shimmer,1
448,late installment pokemon canon pokemon 4ever surprising less moldy trite last two likely much japanese anime set scenic forest pokemon graze peace,0
449,smart arch rather cold blood comedy,1
450,impostor step director gary fleder,0
451,ironic speculation democracy culture unaccustomed,1
452,hashiguchi use situation evoke japan bustle atop undercurrent loneliness isolation,1
453,ice age posit heretofore unfathomable question possible computer generate character go motion,0
454,flounder due general sense two people work production exactly thing mind,0
455,sandra bullock hugh grant make great team predictable romantic comedy get pink slip,0
456,amount arty theorize special effect german expressionist accord press note render anything laughable,0
457,nicole kidman evolve star superstar time past year mean birthday girl kind quirkily appeal minor movie might make,1
458,encourage effort mccrudden,0
459,one aim toilet score direct hit,0
460,good old fashion adventure kid spirit stallion cimarron winner,1
461,chicken heart crush go absurd lengths duck issue raise,0
462,redeems film cast particularly ya yas,1
463,could nap hour miss thing,0
464,humor hinge belief knee crotch elbow face spit eye inherently funny,0
465,gentle engross character study,1
466,far bad thanks topical issue raise performance stewart hardy essential feature decent full space battle,1
467,movie stay afloat thanks hallucinatory production design,1
468,rain small treasure envelop viewer literal spiritual torpor anything cathartic,1
469,certain sense experimentation improvisation film may always work nevertheless compel,1
470,chiller resolutely without chill,0
471,anyone else get tired whole slo mo double pistoled ballistic pyrotechnic hong kong action aesthetic,0
472,tender witty captivate film friendship love memory trust loyalty,1
473,modern master chase sequence return chase end chase,1
